Name,Score,Type,Episodes,Aired,Source,Rating,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5
Cowboy Bebop,8.740248244910044,TV,26,"Apr 3, 1998 to Apr 24, 1999",Original,R - 17+ (violence & profanity),1251960,61971,105808,718161,71513,26678,329800,229170.0,182126.0,131625.0,62330.0,20688.0,8904.0,3184.0,1357.0,741.0,1580.0,Action, Adventure, Comedy, Drama, Sci-Fi
Cowboy Bebop: Tengoku no Tobira,8.390984664700122,Movie,1,"Sep 1, 2001",Original,R - 17+ (violence & profanity),273145,1174,4143,208333,1935,770,57964,30043.0,49201.0,49505.0,22632.0,5805.0,1877.0,577.0,221.0,109.0,379.0,Action, Drama, Mystery, Sci-Fi, Space
Trigun,8.215288698776149,TV,26,"Apr 1, 1998 to Sep 30, 1998",Manga,PG-13 - Teens 13 or older,558913,12944,29113,343492,25465,13925,146918,50229.0,75651.0,86142.0,49432.0,15376.0,5838.0,1965.0,664.0,316.0,533.0,Action, Sci-Fi, Adventure, Comedy, Drama
Witch Hunter Robin,7.216657287563309,TV,26,"Jul 2, 2002 to Dec 24, 2002",Original,PG-13 - Teens 13 or older,94683,587,4300,46165,5121,5378,33719,2182.0,4806.0,10128.0,11618.0,5709.0,2920.0,1083.0,353.0,164.0,131.0,Action, Mystery, Police, Supernatural, Drama
Bouken Ou Beet,6.892115482019247,TV,52,"Sep 30, 2004 to Sep 29, 2005",Manga,PG - Children,13224,18,642,7314,766,1108,3394,312.0,529.0,1242.0,1713.0,1068.0,634.0,265.0,83.0,50.0,27.0,Adventure, Fantasy, Shounen, Supernatural,
Eyeshield 21,7.859179698068286,TV,145,"Apr 6, 2005 to Mar 19, 2008",Manga,PG-13 - Teens 13 or older,148259,2066,13907,78349,14228,11573,30202,9226.0,14904.0,22811.0,16734.0,6206.0,2621.0,795.0,336.0,140.0,151.0,Action, Sports, Comedy, Shounen,
Hachimitsu to Clover,7.925668951791243,TV,24,"Apr 15, 2005 to Sep 27, 2005",Manga,PG-13 - Teens 13 or older,214499,4101,11909,81145,11901,11026,98518,11829.0,16309.0,20008.0,13062.0,5574.0,3148.0,1339.0,484.0,278.0,321.0,Comedy, Drama, Josei, Romance, Slice of Life
Hungry Heart: Wild Striker,7.545438503617434,TV,52,"Sep 11, 2002 to Sep 10, 2003",Manga,PG-13 - Teens 13 or older,20470,231,817,13778,828,1168,3879,1123.0,1777.0,3102.0,3075.0,1286.0,602.0,218.0,88.0,31.0,32.0,Slice of Life, Comedy, Sports, Shounen,
Initial D Fourth Stage,8.136675399605545,TV,24,"Apr 17, 2004 to Feb 18, 2006",Manga,PG-13 - Teens 13 or older,117929,979,6082,90967,3053,1356,16471,10948.0,15820.0,22379.0,12912.0,3874.0,1236.0,369.0,97.0,48.0,259.0,Action, Cars, Sports, Drama, Seinen
Monster,8.622572081305364,TV,74,"Apr 7, 2004 to Sep 28, 2005",Manga,R+ - Mild Nudity,614100,29436,64648,214491,47488,23008,264465,77350.0,60652.0,43459.0,22045.0,8861.0,4381.0,2086.0,882.0,593.0,1177.0,Drama, Horror, Mystery, Police, Psychological
Naruto,7.9006852473567175,TV,220,"Oct 3, 2002 to Feb 8, 2007",Manga,PG-13 - Teens 13 or older,1830540,65586,137167,1462223,61734,99806,69610,216866.0,234481.0,345563.0,286175.0,108155.0,46886.0,15477.0,6098.0,3582.0,5310.0,Action, Adventure, Comedy, Super Power, Martial Arts
One Piece,8.560649563799354,TV,Ongoing,"Oct 20, 1999 to ?",Manga,PG-13 - Teens 13 or older,1352724,126645,887333,33,187919,136245,141194,292445.0,166186.0,141755.0,85424.0,35342.0,19019.0,8201.0,3675.0,2616.0,6340.0,Action, Adventure, Comedy, Super Power, Drama
Tennis no Ouji-sama,7.767910437104628,TV,178,"Oct 10, 2001 to Mar 23, 2005",Manga,PG-13 - Teens 13 or older,141832,3124,11235,76881,12905,12516,28295,9576.0,12719.0,19791.0,16284.0,6624.0,3086.0,1071.0,443.0,210.0,225.0,Action, Comedy, Sports, School, Shounen
Ring ni Kakero 1,6.284941388638413,TV,12,"Oct 6, 2004 to Dec 15, 2004",Manga,PG - Children,3648,16,170,1333,145,296,1704,69.0,61.0,152.0,260.0,236.0,143.0,88.0,40.0,32.0,28.0,Action, Shounen, Sports,,
School Rumble,7.853997036403355,TV,26,"Oct 5, 2004 to Mar 29, 2005",Manga,PG-13 - Teens 13 or older,275464,5137,12277,157789,12856,13491,79051,17907.0,27623.0,38112.0,27327.0,11034.0,5396.0,1897.0,780.0,441.0,405.0,Comedy, Romance, School, Shounen,
Sunabouzu,7.287674423528913,TV,24,"Oct 6, 2004 to Mar 30, 2005",Manga,R - 17+ (violence & profanity),111734,790,6273,53819,6255,7951,37436,3589.0,6664.0,12349.0,12702.0,6033.0,3079.0,1521.0,643.0,350.0,297.0,Action, Adventure, Comedy, Ecchi, Sci-Fi
Texhnolyze,7.5706465883194065,TV,22,"Apr 17, 2003 to Sep 25, 2003",Original,R+ - Mild Nudity,182599,3671,11335,47532,9815,8112,105805,6856.0,8309.0,10851.0,8636.0,4429.0,2462.0,1456.0,684.0,411.0,664.0,Action, Sci-Fi, Psychological, Drama,
Trinity Blood,7.275356387695246,TV,24,"Apr 29, 2005 to Oct 28, 2005",Light novel,R - 17+ (violence & profanity),158343,1479,7794,87958,8940,9349,44302,6091.0,9759.0,17761.0,20152.0,10273.0,5392.0,2250.0,873.0,456.0,298.0,Action, Supernatural, Vampire,,
Yakitate!! Japan,7.877277569097942,TV,69,"Oct 12, 2004 to Mar 14, 2006",Manga,PG-13 - Teens 13 or older,80183,887,5007,39992,5764,4633,24787,4347.0,7425.0,11074.0,7965.0,3038.0,1248.0,345.0,118.0,56.0,58.0,Comedy, Shounen,,,
Zipang,7.487278854254423,TV,26,"Oct 8, 2004 to Apr 1, 2005",Manga,PG-13 - Teens 13 or older,16652,152,857,6807,721,599,7668,430.0,874.0,1801.0,1696.0,662.0,279.0,114.0,38.0,13.0,28.0,Action, Military, Sci-Fi, Historical, Drama
Neon Genesis Evangelion,8.310794309876313,TV,26,"Oct 4, 1995 to Mar 27, 1996",Original,PG-13 - Teens 13 or older,1160651,71308,66549,815938,35566,20358,222240,186797.0,168056.0,157596.0,93532.0,38385.0,17571.0,9686.0,4408.0,3263.0,3714.0,Action, Sci-Fi, Dementia, Psychological, Drama
Neon Genesis Evangelion: Death & Rebirth,7.486999097295812,Movie,1,"Mar 15, 1997",Original,R - 17+ (violence & profanity),180681,588,1941,146202,1069,961,30508,13516.0,15245.0,23683.0,25396.0,12694.0,6313.0,2636.0,1042.0,654.0,737.0,Drama, Mecha, Psychological, Sci-Fi,
Neon Genesis Evangelion: The End of Evangelion,8.52574195846202,Movie,1,"Jul 19, 1997",Original,R+ - Mild Nudity,572080,17811,8055,482918,2462,1499,77146,127081.0,95821.0,77593.0,41261.0,16444.0,7057.0,4493.0,2279.0,1941.0,2264.0,Sci-Fi, Dementia, Psychological, Drama, Mecha
